,Weight with Label,Pressure_2_Integral,ActTimPlst[1],Temperature_1_YMax,CycleTime,Pressure_2_YMax,ActVolCsh[1],Pressure_1_TimeatYMin,FlowPipeIn,ActTimXfr[1],ActVolXfr[1],Pressure_2_TimeatYMax,"ActTmpBrlZn[1,2]",Pressure_1_TimeatYMax,Pressure_1_YMax,Temperature_1_Integral,Pressure_1_YMin,TemperatureMaterial,Temperature_1_TimeatYMin,TemperaturePipeIn,ActPrsMachSpecMax[1],Pressure_2_TimeatYMin,Temperature_1_TimeatYMax,Pressure_2_YMin,SetTimInjCool[1],ActVolDcmpPst[1],ActVolPlst[1],trialHasPassedDropTest
634,370.9,1478.99,2.9,124.3,10.739,602.4,13.0,5.257000000000001,266.1,0.345,80.3,0.8,249.9,1.735,229.650417,600.0,-1.455965,34.59,0.684,18.3,1471.0,0.284,2.4,-0.2,4.0,574.7,563.1,0
635,371.0,1475.98,2.89,124.3,10.739,600.8,12.4,5.223,266.1,0.345,80.2,0.8,249.9,1.719,228.073221,600.0,-1.411244,34.59,0.667,18.3,1466.7,0.017,2.4,-0.9,4.0,574.7,563.1,0
636,370.8,1475.12,2.9,124.7,10.739,601.0,12.7,5.223,266.1,0.345,80.2,0.8,250.5,1.719,229.511333,602.1,-1.417262,34.59,0.667,18.3,1469.8,0.33399999999999996,2.5,-0.6,4.0,575.0,563.1,0
637,370.7,1478.07,2.93,124.3,10.739,602.3,12.7,5.206,266.1,0.345,80.2,0.8,250.5,1.719,230.52501,600.6,-1.395475,34.59,0.667,18.3,1469.9,0.384,2.4,-0.6,4.0,575.0,563.2,0
638,370.7,1474.64,2.9,124.6,10.739,601.4,12.5,5.19,266.1,0.345,80.1,0.8,250.5,1.735,228.45060499999997,602.1,-1.374,34.59,0.684,18.3,1470.1,0.384,2.7,-0.7,4.0,574.8,563.1,0
639,371.0,1474.92,2.9,124.7,10.739,600.8,12.5,5.172999999999999,266.1,0.345,80.1,0.8,251.1,1.735,227.81923500000002,602.0,-1.312944,34.59,0.718,18.3,1470.2,0.434,2.4,-0.6,4.0,574.9,563.1,0
640,371.0,1473.39,2.91,124.6,10.739,601.4,12.8,5.223,266.1,0.344,80.4,0.8,251.1,1.735,225.117223,602.4,-1.4053950000000002,34.59,0.718,18.3,1471.7,0.41700000000000004,2.5,-0.6,4.0,575.0,563.1,0
641,370.8,1472.02,2.92,124.9,10.739,601.8,13.0,5.223,266.1,0.345,80.1,0.8,251.7,1.735,228.242954,603.3,-1.3616409999999999,34.59,0.684,18.3,1469.5,0.467,2.3,-0.7,4.0,574.8,563.1,0
642,370.9,1472.05,2.92,124.9,10.739,602.5,12.6,5.14,266.1,0.344,80.4,0.8,251.7,1.735,227.32976200000002,604.0,-1.286459,34.59,0.667,18.3,1470.6,0.484,2.4,-0.1,4.0,574.9,563.1,0
643,370.7,1470.18,2.91,125.3,10.739,600.4,12.8,5.206,266.5,0.345,80.1,0.8,252.3,1.7519999999999998,226.528627,605.2,-1.318333,34.35,0.718,19.1,1470.4,0.0,2.5,0.0,4.0,574.9,563.1,0
644,370.8,1472.87,2.92,125.0,10.739,601.2,13.0,5.24,265.9,0.345,80.2,0.8,252.3,1.735,229.770167,604.7,-1.319883,34.46,0.7340000000000001,19.2,1466.4,0.11699999999999999,2.7,0.0,4.0,574.8,563.1,0
645,370.9,1471.13,2.92,125.7,10.739,601.0,13.1,5.223,266.7,0.345,80.2,0.8,252.9,1.735,227.48075699999998,606.9,-1.2172969999999999,34.56,0.7340000000000001,19.2,1472.0,0.0,2.4,0.0,4.0,574.9,563.1,0
646,371.7,1462.15,2.93,125.2,10.739,599.3,12.9,5.24,265.7,0.345,80.3,0.8,252.9,1.7690000000000001,223.744381,605.4,-1.232412,34.35,0.667,19.2,1469.1,0.11699999999999999,2.3,-1.1,4.0,574.9,563.2,0
647,370.9,1468.89,2.94,125.7,10.739,600.1,13.0,5.3229999999999995,267.0,0.345,80.2,0.8,253.5,1.735,228.363928,607.8,-1.230206,34.21,0.701,19.2,1472.2,0.05,2.4,-1.1,4.0,574.9,563.1,0
648,370.9,1468.68,2.92,125.7,10.739,601.3,13.0,5.223,266.2,0.345,80.1,0.8,253.5,1.7519999999999998,228.26703799999999,608.0,-1.199152,34.06,0.701,19.2,1468.3,0.033,2.5,-1.4,4.0,574.8,563.2,0
649,371.2,1473.26,2.92,125.7,10.739,601.0,13.1,5.29,266.3,0.345,80.2,0.8,254.1,1.7690000000000001,226.53790800000002,607.6,-1.17056,34.03,0.667,19.1,1471.5,0.017,2.4,-1.0,4.0,574.8,563.1,0
650,370.8,1473.45,2.93,125.5,10.739,601.9,13.3,5.273,266.0,0.345,80.3,0.8,254.7,1.7519999999999998,229.51728500000002,607.3,-1.173737,33.86,0.718,19.1,1466.3,0.017,2.4,-1.0,4.0,574.9,563.1,0
651,370.7,1472.73,2.94,125.4,10.989,602.4,13.3,5.19,266.5,0.344,80.4,0.8,254.7,1.7519999999999998,226.151564,607.1,-1.166828,33.8,0.701,19.0,1470.4,0.017,2.4,-1.2,4.0,574.8,563.1,0
652,370.8,1470.3,2.93,125.5,10.989,602.0,13.3,5.206,266.5,0.344,80.4,0.8,255.3,1.7690000000000001,224.231611,607.3,-1.150992,33.8,0.7340000000000001,19.0,1469.7,0.317,2.5,-0.5,4.0,574.8,563.1,0
653,370.7,1470.94,2.94,125.8,10.989,601.7,12.8,5.34,266.5,0.344,80.3,0.8,255.3,1.7519999999999998,224.01764599999998,608.4,-1.146297,33.8,0.701,19.0,1471.4,0.41700000000000004,2.4,-0.7,4.0,574.8,563.1,0
654,370.8,1470.91,2.94,126.1,10.989,600.9,12.6,5.357,265.8,0.345,80.1,0.8,255.3,1.7519999999999998,225.34236099999998,610.3,-1.186352,33.95,0.701,18.8,1470.5,0.434,2.2,-0.6,4.0,574.8,563.2,0
667,365.3,1165.74,2.9,121.0,10.759,596.9,19.9,5.006,266.1,0.617,80.3,1.0,258.9,2.67,153.074034,569.5,-1.781162,34.19,1.035,19.0,1316.5,0.434,3.0,-0.7,4.0,574.8,563.1,0
668,365.4,1166.72,2.91,120.7,10.769,598.8,19.7,4.888999999999999,266.4,0.618,80.2,1.0,258.9,2.67,150.618231,566.8,-1.8065099999999998,34.17,1.1179999999999999,19.1,1317.6,0.517,3.0,-0.6,4.0,574.8,563.1,0
669,365.1,1166.65,2.91,120.6,10.759,598.4,19.9,4.888999999999999,266.1,0.617,80.3,1.0,258.9,2.67,146.781906,564.8,-1.8245040000000001,34.18,1.001,19.2,1318.0,0.0,3.1,0.0,4.0,574.8,563.2,0
670,365.4,1160.04,2.92,120.0,10.759,598.9,20.0,4.923,266.7,0.617,80.3,1.0,258.9,2.67,145.18538700000002,562.5,-1.836911,33.83,1.185,19.2,1318.2,0.3,2.9,-0.6,4.0,574.8,563.1,0
671,365.8,1161.91,2.92,119.8,10.769,597.4,19.9,4.856,266.4,0.618,80.1,1.0,258.9,2.687,142.120241,560.7,-1.89392,34.06,1.135,19.2,1319.9,0.434,3.0,-0.6,4.0,574.8,563.1,0
672,365.2,1160.8,2.91,119.5,10.759,598.3,19.9,4.789,266.3,0.617,80.4,1.0,258.9,2.687,136.716016,559.4,-1.995116,34.08,1.185,19.2,1318.4,0.384,3.0,-0.3,4.0,574.8,563.1,0
673,365.4,1160.58,2.9,119.6,10.769,599.0,20.4,4.789,266.1,0.618,80.3,1.0,259.5,2.687,133.617446,558.9,-1.95403,34.23,1.051,19.3,1324.4,0.017,3.0,-0.5,4.0,575.0,563.1,0
674,365.1,1160.85,2.91,119.5,10.769,600.7,20.4,4.806,265.6,0.618,80.2,1.0,259.5,2.687,135.025674,559.2,-1.950245,33.99,1.031,19.3,1324.2,0.41700000000000004,3.1,-0.6,4.0,574.8,563.1,0
675,365.2,1154.33,2.92,119.3,10.739,600.5,20.4,4.773,265.4,0.618,80.2,1.0,259.5,2.687,127.24854099999999,557.4,-2.0650209999999998,34.0,1.168,19.3,1324.5,0.0,3.1,0.0,4.0,574.8,563.1,0
676,365.1,1154.48,2.89,119.7,10.739,599.3,20.1,4.756,265.4,0.617,80.3,1.0,259.5,2.687,131.434661,559.5,-1.9998330000000002,34.0,0.9540000000000001,19.3,1320.4,0.017,3.2,-1.1,4.0,574.8,563.1,0
